Periodo,Exportaciones,Importaciones
2018/03,41548,209808
2018/04,28362,309050
2018/05,39587,298990
2018/06,30675,299996
2018/07,17954,299767
2018/08,9551,329236
2018/09,13050,269681
2018/10,25272,336219
2018/11,7172,306431
2018/12,12382,260915
2019/01,16288,240658
2019/02,11314,229103
2019/03,7372,200654
2019/04,47123,311517
2019/05,19447,260500
2019/06,14897,195756
2019/07,31655,268526
2019/08,24199,338794
2019/09,16235,279428
2019/10,21055,290872
2019/11,23440,305077
2019/12,21098,269214
2020/01,24944,226931
2020/02,26232,232335
2020/03,19799,255873
2020/04,31191,279214
2020/05,24209,248025
2020/06,35633,244947
2020/07,18886,266039
2020/08,1764,269426
2020/09,26647,239291
2020/10,23127,254085
2020/11,24052,289768
2020/12,14433,283854
2021/01,12644,305177
2021/02,12176,315548
2021/03,19482,479137
2021/04,14279,442728
2021/05,15708,505721
2021/06,17970,470779
2021/07,12925,443832
2021/08,33310,477352
2021/09,3720,352571
2021/10,5130,435692
2021/11,2943,502292
2021/12,6588,415963
2022/01,4931,410105
2022/02,5350,447922
2022/03,30811,437920
2022/04,19103,491016
2022/05,16138,505540
2022/06,24483,499287
2022/07,39735,469850
2022/08,18759,502784
2022/09,8878,494739
2022/10,5856,420742
2022/11,5077,508549
2022/12,4136,606346
2023/01,4137,638778
2023/02,10139,587207
2023/03,35239,568271
2023/04,17060,531280
2023/05,17643,466135
,,
,,
,,
,,
,,
,,
,,
,,
